,spx index,ccmp index,xau curncy,npncre index,bcomtr index,luactruu index
,px_last,px_last,px_last,px_last,px_last,px_last
1970-01-30,85.02,,34.94,,3.1669,
1970-02-27,89.5,,34.99,,3.2455,
1970-03-31,89.63,,35.09,,3.2808,
1970-04-30,81.52,,35.62,,3.3716,
1970-05-29,76.55,,35.95,,3.3408,
1970-06-30,72.72,,35.44,,3.5648,
1970-07-31,78.05,,35.32,,3.5433,
1970-08-31,81.52,,35.38,,3.7458,
1970-09-30,84.21,,36.19,,3.7689,
1970-10-30,83.25,,37.52,,3.9136,
1970-11-30,87.2,,37.44,,3.8547,
1970-12-31,92.15,,37.44,,3.8598,
1971-01-29,95.88,,37.87,,4.0121,
1971-02-26,96.75,101.34,38.74,,3.9465,
1971-03-31,100.31,105.97,38.87,,3.9119,
1971-04-30,103.95,112.3,39.01,,3.883,
1971-05-31,99.63,108.25,40.52,,4.0143,
1971-06-30,99.7,107.8,40.1,,4.103,
1971-07-30,95.58,105.27,40.95,,4.1193,
1971-08-31,99.03,108.42,42.73,,4.0372,
1971-09-30,98.34,109.03,42.02,,3.9845,
1971-10-29,94.23,105.1,42.5,,4.1322,
1971-11-30,93.99,103.97,42.86,,4.1341,
1971-12-31,102.09,114.12,43.48,,4.4021,
1972-01-31,103.94,118.87,45.75,,4.4932,
1972-02-29,106.57,125.38,48.26,,4.5634,
1972-03-31,107.2,128.14,48.33,,4.6603,
1972-04-28,107.67,131.33,49.03,,4.679,
1972-05-31,109.53,132.53,54.62,,4.708,
1972-06-30,107.14,130.08,62.09,,4.6347,
1972-07-31,107.39,127.75,65.67,,4.6049,
1972-08-31,111.09,129.95,67.03,,5.0042,
1972-09-29,110.55,129.61,65.47,,5.2421,
1972-10-31,111.58,130.24,64.86,,5.2233,
1972-11-30,116.67,132.96,62.91,,5.4702,
1972-12-29,118.05,133.73,63.91,,5.9971,
1973-01-31,116.03,128.4,65.14,,6.3488,99.8
1973-02-28,111.68,120.41,74.2,,7.179,100.17
1973-03-30,111.52,117.46,84.37,,6.8861,100.18
1973-04-30,106.97,107.85,90.5,,7.9417,101.15
1973-05-31,104.95,102.64,101.96,,10.3168,100.76
1973-06-29,104.26,100.98,120.12,,10.317,99.67
1973-07-31,108.22,108.64,120.17,,13.3615,96.21
1973-08-31,104.25,104.87,106.76,,12.9536,99.76
1973-09-28,108.43,111.2,102.97,,12.9479,102.91
1973-10-31,108.29,110.17,100.08,,11.6798,101.78
1973-11-30,95.96,93.51,94.82,,12.6739,102.87
1973-12-31,97.55,92.19,106.72,,13.7016,101.51
1974-01-31,96.57,94.93,129.19,,15.0804,101.57
1974-02-28,96.22,94.35,150.23,,15.3083,101.82
1974-03-29,93.98,92.27,168.42,,14.7162,98.73
1974-04-30,90.31,86.86,172.24,,14.8887,95.79
1974-05-31,87.28,80.2,163.27,,14.1428,96.46
1974-06-28,86.0,75.96,154.1,,15.5177,92.09
1974-07-31,79.31,69.99,142.98,,20.182,91.3
1974-08-30,72.15,62.37,154.64,,18.6125,89.07
1974-09-30,63.54,55.67,151.77,,21.2248,90.1
1974-10-31,73.9,65.23,158.78,,21.6203,96.66
1974-11-29,69.97,62.95,181.66,,21.5464,96.35
1974-12-31,68.56,59.82,183.85,,19.764,95.56
1975-01-31,76.98,69.78,175.8,,17.5841,102.08
1975-02-28,81.59,73.0,181.75,,16.538,104.11
1975-03-31,83.36,75.66,178.16,,17.7403,100.78
1975-04-30,87.3,78.54,167.0,,16.8557,99.92
1975-05-30,91.15,83.1,167.0,,16.8528,102.53
1975-06-30,95.19,87.02,166.25,,17.1747,105.3
1975-07-31,88.75,83.19,166.7,,18.9863,105.07
1975-08-29,86.88,79.01,159.8,,19.317,104.55
1975-09-30,83.87,74.33,141.25,,19.1327,103.3
1975-10-31,89.04,76.99,142.9,,17.9679,108.21
1975-11-28,91.24,78.8,138.15,,17.8023,107.71
1975-12-31,90.19,77.62,140.25,,17.7783,111.52
1976-01-30,100.86,87.05,128.15,,17.4581,114.77
1976-02-27,99.71,90.26,132.3,,18.1138,115.86
1976-03-31,102.77,90.62,129.6,,17.792,117.56
1976-04-30,101.64,90.08,128.4,,18.5891,118.04
1976-05-31,100.18,88.04,125.5,,19.8251,116.95
1976-06-30,104.28,90.32,123.8,,20.8763,118.71
1976-07-30,103.44,91.29,112.5,,19.3403,120.31
1976-08-31,102.91,89.7,104.0,,19.6195,122.95
1976-09-30,105.24,91.26,116.0,,19.6137,125.01
1976-10-29,102.9,90.35,123.15,,20.4749,126.26
1976-11-30,102.1,91.12,130.25,,20.5583,129.47
1976-12-31,107.46,97.88,134.5,,21.5267,133.09
